Canal,Dispositivo,Descricao,Temp_Range,Simplex_Range,Media,Atual_Simplex,Atual_Perc,Pico_Simplex,Pico_Perc,Status,Tipo,Atual_Temp,Pico_Temp
M1,103,N1-L01-103-DF-BHS001-TE-PE,,136,68,68,0%,69,0%,NOR,DF,,
M1,105,N1-L01-105-DF-BHS001-TE-PE,,136,68,68,0%,69,0%,NOR,DF,,
M1,106,N1-L01-106-DF-BHS001-TE-PE,,148,80,80,0%,81,0%,NOR,DF,,
M1,108,N1-L01-108-DF-BHS001-TE-PE,,123,55,55,0%,56,0%,NOR,DF,,
M1,110,N1-L01-110-DF-BHS001-TE-PE,,128,60,60,0%,65,8%,NOR,DF,,
M1,111,N1-L01-111-DF-BHS001-TE-PE,,143,75,74,0%,234,100%,NOR,DF,,
M1,113,N1-L01-113-DF-REST BAGAGEM-TE-PE,,148,80,80,0%,80,0%,NOR,DF,,
M1,117,N1-L01-117-DF-REST BAGAGEM-TE-PE,,153,85,84,0%,106,28%,NOR,DF,,
M1,119,N1-L01-119-DF-REST BAGAGEM-TE-PE,,130,62,62,0%,63,0%,NOR,DF,,
M1,123,N1-L01-123-DF-WC MAS-TE-PE,,123,55,55,0%,255,100%,NOR,DF,,
M1,124,N1-L01-124-DF-WC MAS-TE-PE,,123,55,55,0%,62,8%,NOR,DF,,
M1,125,N1-L01-125-DF-WC MAS DEF-TE-PE,,138,70,70,0%,110,52%,NOR,DF,,
M1,127,N1-L01-127-DF-WC HALL-TE-PE,,120,52,52,0%,56,4%,NOR,DF,,
M1,128,N1-L01-128-DF-WC FEM-TE-PE,,128,60,61,0%,255,100%,NOR,DF,,
M1,129,N1-L01-129-DF-WC DEF-TE-PE,,140,72,73,0%,95,4%,NOR,DF,,
M1,130,N1-L01-130-DF-SL DISPONIVEL-TE-PE,,119,51,51,0%,255,100%,NOR,DF,,
M1,131,N1-L01-131-DF-WC FEM-TE-PE,,129,61,62,0%,255,100%,NOR,DF,,
M1,132,N1-L01-132-DF-CARRINHOS DE BAG-TE-PE,,126,58,58,0%,255,100%,NOR,DF,,
M1,133,N1-L01-133-DF-CARRINHOS DE BAG-TE-PE,,130,62,62,0%,255,100%,NOR,DF,,
M1,134,N1-L01-134-DF-REST BAGAGEM-TE-PE,,134,66,67,0%,255,100%,NOR,DF,,
M1,135,N1-L01-135-DF-REST BAGAGEM-TE-PE,,148,80,81,0%,255,100%,NOR,DF,,
M1,136,N1-L01-136-DF-REST BAGAGEM-TE-PE,,127,59,60,0%,255,100%,NOR,DF,,
M1,137,N1-L01-137-DF-REST BAGAGEM-TE-PE,,138,70,70,0%,255,100%,NOR,DF,,
M1,138,N1-L01-138-DF-REST BAGAGEM-TE-PE,,131,63,63,0%,255,100%,NOR,DF,,
M1,139,N1-L01-139-DF-REST BAGAGEM-TE-PE,,140,72,73,0%,255,100%,NOR,DF,,
M1,140,N1-L01-140-DF-REST BAGAGEM-TE-PE,,133,65,66,0%,255,100%,NOR,DF,,
M1,141,N1-L01-141-DF-DESEMB DOMESTICO-TE-PE,,137,69,69,0%,69,0%,NOR,DF,,
M1,143,N1-L01-143-DF-SL RECONCILIACAO-TE-PE,,122,54,54,0%,255,100%,NOR,DF,,
M1,144,N1-L01-144-DF-CORREDOR-TE-PE,,132,64,64,0%,75,16%,NOR,DF,,
M1,145,N1-L01-145-DF-SL TECNICA-TE-PE,,129,61,62,0%,255,100%,NOR,DF,,
M1,146,N1-L01-146-DF-X-TE-PE,,127,59,59,0%,255,100%,NOR,DF,,
M1,147,N1-L01-147-DF-DISPONIVEL-TE-PE,,143,75,76,0%,81,8%,NOR,DF,,
M1,149,N1-L01-149-DF-RAMPA-TE-PE,,130,62,62,0%,255,100%,NOR,DF,,
M1,150,N1-L01-150-DF-AREA TECNICA-TE-PE,,143,75,76,0%,78,0%,NOR,DF,,
M1,151,N1-L01-151-DF-WC SL RECONCILIACAO-TE-,,126,58,58,0%,255,100%,NOR,DF,,
M1,152,N1-L01-152-DF- REST BAGAGEM DOMEST-TE,,147,79,79,0%,255,100%,NOR,DF,,
M1,153,N1-L01-153-DF-SL RECONCILIACAO-TE-PE,,133,65,66,0%,197,100%,NOR,DF,,
M1,154,N1-L01-154-DF-CORREDOR-TE-PE,,134,66,67,0%,255,100%,NOR,DF,,
M1,155,N1-L01-155-DF-SL TECNICA-TE-PE,,135,67,68,0%,255,100%,NOR,DF,,
M1,156,N1-L01-156-DF-SALA AV 006-TE-PE,,145,77,77,0%,255,100%,NOR,DF,,
M1,157,N1-L01-157-DF-ESCADA ROL-TE-PE,,133,65,66,0%,255,100%,NOR,DF,,
M1,160,N1-L01-160-DF-BHS001-TE-PE,,125,57,58,0%,255,100%,NOR,DF,,
M1,161,N1-L01-161-DF-BHS001-TE-PE,,131,63,63,0%,255,100%,NOR,DF,,
M1,163,N1-L01-163-DF-SALA AR CONDIC SM111-TE,,130,62,62,0%,68,8%,NOR,DF,,
M1,164,N1-L01-164-DF-BHS001-TE-PE,,148,80,80,0%,86,8%,NOR,DF,,
M1,165,N1-L01-165-DF-BHS001-TE-PE,,130,62,63,0%,65,4%,NOR,DF,,
M1,166,N1-L01-166-DF-BHS001-TE-PE,,143,75,75,0%,79,0%,NOR,DF,,
M1,167,N1-L01-167-DF-WC FEM-TE-PE,,133,65,65,0%,71,4%,NOR,DF,,
M1,168,N1-L01-168-DF-WC-TE-PE,,148,80,80,0%,95,20%,NOR,DF,,
M1,169,N1-L01-169-DF-WC PNE FEM-TE-PE,,142,74,75,0%,77,0%,NOR,DF,,
M1,170,N1-L01-170-DF-WC-TE-PE,,137,69,69,0%,72,0%,NOR,DF,,
M1,172,N1-L01-172-DF-SL TEC ELT 06-TE-PE,,121,53,53,0%,255,100%,NOR,DF,,
M1,173,N1-L01-173-DF-SCADA 001-TE-PE,,135,67,68,0%,72,4%,NOR,DF,,
M1,174,N1-L01-174-DF-SCADA 001-TE-PE,,145,77,77,0%,78,0%,NOR,DF,,
M1,175,N1-L01-175-DF-SL TECNICA 10-TE-PE,,133,65,65,0%,68,0%,NOR,DF,,
M1,176,N1-L01-176-DF-SL TECNICA-TE-PE,,141,73,75,0%,77,0%,NOR,DF,,
M1,178,N1-L01-178-DF-WC-TE-PE,,132,64,64,0%,69,0%,NOR,DF,,
M1,179,N1-L01-179-DF-DESEMB INT-TE-PE,,142,74,74,0%,77,0%,NOR,DF,,
M1,180,N1-L01-180-DF-WC DEF-TE-PE,,132,64,65,0%,66,0%,NOR,DF,,
M1,181,N1-L01-181-DF-WC MAS-TE-PE,,151,83,83,0%,88,0%,NOR,DF,,
M1,182,N1-L01-182-DF-WC FEM-TE-PE,,138,70,70,0%,73,0%,NOR,DF,,
M1,183,N1-L01-183-DF-WC FEM-TE-PE,,133,65,65,0%,66,0%,NOR,DF,,
M1,184,N1-L01-184-DF-WC DEF-TE-PE,,147,79,79,0%,83,0%,NOR,DF,,
M1,185,N1-L01-185-DF-DESEMB INT-TE-PE,,132,64,65,0%,67,0%,NOR,DF,,
M1,186,N1-L01-186-DF-SL TEC ELT 06-TE-PE,,134,66,66,0%,255,100%,NOR,DF,,
M1,188,N1-L01-188-DF-DESEMB INT REMOTO-TE-PE,,127,59,59,0%,62,4%,NOR,DF,,
M1,189,N1-L01-189-DF-FILAS IMIGRACAO-TE-PE,,124,56,56,0%,57,0%,NOR,DF,,
M1,190,N1-L01-190-DF- CIRC IMIGRACAO-TE-PE,,133,65,65,0%,69,4%,NOR,DF,,
M1,191,N1-L01-191-DF-CIRC IMIGRACAO-TE-PE,,149,81,81,0%,86,4%,NOR,DF,,
M1,192,N1-L01-192-DF-CIRC IMIGRACAO-TE-PE,,152,84,85,0%,89,4%,NOR,DF,,
M1,193,N1-L01-193-DF-CIRC IMIGRACAO-TE-PE,,141,73,73,0%,77,4%,NOR,DF,,
M1,194,N1-L01-194-DF-CIRC IMIGRACAO-TE-PE,,150,82,83,0%,86,0%,NOR,DF,,
M1,195,N1-L01-195-DF-CIRC IMIGRACAO-TE-PE,,122,54,54,0%,59,8%,NOR,DF,,
M1,196,N1-L01-196-DF-SL POL FEDERAL-TE-PE,,126,58,58,0%,121,80%,NOR,DF,,
M1,197,N1-L01-197-DF-SL POL FEDERAL-TE-PE,,137,69,70,0%,70,0%,NOR,DF,,
M1,198,N1-L01-198-DF-SL TEC ELT 05-TE-PE,,135,67,67,0%,69,0%,NOR,DF,,
M1,199,N1-L01-199-DF-SL POL FEDERAL-TE-PE,,134,66,66,0%,67,0%,NOR,DF,,
M1,200,N1-L01-200-DF-RECEPCAO-TE-PE,,144,76,77,0%,79,4%,NOR,DF,,
M1,201,N1-L01-201-DF-RECEPCAO-TE-PE,,148,80,80,0%,82,0%,NOR,DF,,
M1,202,N1-L01-202-DF-DESEMB INT-TE-PE,,144,76,77,0%,80,4%,NOR,DF,,
M1,203,N1-L01-203-DF-SL DE SEGURANCA-TE-PE,,138,70,70,0%,75,4%,NOR,DF,,
M1,204,N1-L01-204-DF-LOJA DESEMB-TE-PE,,144,76,76,0%,82,0%,NOR,DF,,
M1,205,N1-L01-205-DF-BANHEIRO POL FED-TE-PE,,147,79,79,0%,202,100%,NOR,DF,,
M1,206,N1-L01-206-DF-BANHEIRO POL FED-TE-PE,,129,61,62,0%,64,0%,NOR,DF,,
M1,207,N1-L01-207-DF-BANHEIRO POL FED-TE-PE,,150,82,82,0%,100,24%,NOR,DF,,
M1,208,N1-L01-208-DF-BANHEIRO POL FED-TE-PE,,132,64,64,0%,68,0%,NOR,DF,,
M1,209,N1-L01-209-DF-BANHEIRO POL FED-TE-PE,,150,82,83,0%,100,24%,NOR,DF,,
M1,210,N1-L01-210-DF-BANHEIRO POL FED-TE-PE,,138,70,70,0%,116,60%,NOR,DF,,
M1,211,N1-L01-211-DF-CIRCULACAO-TE-PE,,145,77,78,0%,163,100%,NOR,DF,,
M1,212,N1-L01-212-DF-CIRCULACAO-TE-PE,,127,59,59,0%,60,0%,NOR,DF,,
M1,213,N1-L01-213-DF-BANHEIRO-TE-PE,,135,67,68,0%,85,20%,NOR,DF,,
M1,214,N1-L01-214-DF-BANHEIRO-TE-PE,,133,65,65,0%,66,0%,NOR,DF,,
M1,215,N1-L01-215-DF-BANHEIRO-TE-PE,,134,66,67,0%,71,0%,NOR,DF,,
M1,216,N1-L01-216-DF-CORRREDOR POL FED-TE-PE,,143,75,72,0%,78,0%,NOR,DF,,
M1,217,N1-L01-217-DF-CORRREDOR POL FED-TE-PE,,152,84,84,0%,85,0%,NOR,DF,,
M1,218,N1-L01-218-DF-BANHEIRO-TE-PE,,134,66,66,0%,67,0%,NOR,DF,,
M1,219,N1-L01-219-DF-BANHEIRO-TE-PE,,136,68,68,0%,69,0%,NOR,DF,,
M1,220,N1-L01-220-DF-X-TE-PE,,129,61,61,0%,67,8%,NOR,DF,,
M1,221,N1-L01-221-DF-DESEMB INTERNACIONAL-TE,,144,76,77,0%,92,20%,NOR,DF,,
M1,222,N1-L01-222-DF-DESEMB INTERNACIONAL-TE,,120,52,53,0%,255,100%,NOR,DF,,
M1,223,N1-L01-223-DF-DESEMB INTERNACIONAL-TE,,136,68,68,0%,74,8%,NOR,DF,,
M1,224,N1-L01-224-DF-DESEMB INTERNACIONAL-TE,,135,67,67,0%,68,0%,NOR,DF,,
M1,225,N1-L01-225-DF-DESEMB INTERNACIONAL-TE,,163,95,96,0%,105,8%,NOR,DF,,
M1,226,N1-L01-226-DF-DESEMB INTERNACIONAL-TE,,137,69,69,0%,70,0%,NOR,DF,,
M1,227,N1-L01-227-DF-DESEMB INTERNACIONAL-TE,,130,62,62,0%,62,0%,NOR,DF,,
M1,228,N1-L01-228-DF-DESEMB INTERNACIONAL-TE,,152,84,84,0%,88,4%,NOR,DF,,
M1,229,N1-L01-229-DF-DESEMB INTERNACIONAL-TE,,136,68,68,0%,74,8%,NOR,DF,,
M1,230,N1-L01-230-DF-DESEMB INTERNACIONAL-TE,,136,68,68,0%,74,8%,NOR,DF,,
M1,231,N1-L01-231-DF-DESEMB INTERNACIONAL-TE,,127,59,59,0%,68,12%,NOR,DF,,
M1,232,N1-L01-232-DF-DESEMB INTERNACIONAL-TE,,121,53,53,0%,56,4%,NOR,DF,,
M1,233,N1-L01-233-DF-DESEMB INTERNACIONAL-TE,,129,61,61,0%,66,8%,NOR,DF,,
M1,236,N1-L01-236-DF-BANHEIRO-TE-PE,,152,84,85,0%,112,40%,NOR,DF,,
M1,237,N1-L01-237-DF-BANHEIRO-TE-PE,,139,71,72,0%,72,0%,NOR,DF,,
M1,238,N1-L01-238-DF-BANHEIRO-TE-PE,,141,73,73,0%,74,0%,NOR,DF,,
M1,240,N1-L01-240-DF-BHS001-TE-PE,,126,58,58,0%,62,4%,NOR,DF,,
M1,241,N1-L01-141-DF-BHS001-TE-PE,,154,86,248,100%,0,0%,TBL,DF,,
M1,242,N1-L01-242-DF-WC MAS-TE-PE,,136,68,69,0%,255,100%,NOR,DF,,
M1,243,N1-L01-243-DF-WC MAS-TE-PE,,129,61,61,0%,255,100%,NOR,DF,,
M1,244,N1-L01-244-DF-WC FEM-TE-PE,,125,57,57,0%,58,0%,NOR,DF,,
M1,248,N1-L01-248-DF-SALA PRIMARIA-TE-PE,,156,88,88,0%,125,76%,NOR,DF,,
M1,249,N1-L01-249-DF-SALA PRIMARIA-TE-PE,,139,71,70,0%,0,0%,NOR,DF,,
M1,250,N1-L01-250-DF-SALA PRIMARIA-TE-PE,,132,64,64,0%,0,0%,NOR,DF,,
M2,1,N1-L02-001-DF-SL DESEMB DOMESTICO-TE-,,145,77,77,0%,81,4%,NOR,DF,,
M2,2,N1-L02-002-DF-SL DESEMB DOMESTICO-TE-,,131,63,63,0%,68,4%,NOR,DF,,
M2,3,N1-L02-003-DF-SL DESEMB DOMESTICO-TE-,,135,67,66,0%,83,20%,NOR,DF,,
M2,4,N1-L02-004-DF-SL DESEMB DOMESTICO-TE-,,131,63,66,4%,66,4%,NOR,DF,,
M2,5,N1-L02-005-DF-SL DESEMB DOMESTICO-TE-,,125,57,57,0%,57,0%,NOR,DF,,
M2,6,N1-L02-006-DF-SL DESEMB DOMESTICO-TE-,,178,110,108,0%,119,4%,NOR,DF,,
M2,7,N1-L02-007-DF-SL DESEMB DOMESTICO-TE-,,132,64,65,0%,65,0%,NOR,DF,,
M2,8,N1-L02-008-DF-SL REVERSIVEL-TE-PE,,137,69,70,0%,70,0%,NOR,DF,,
M2,9,N1-L02-009-DF-SL REVERSIVEL-TE-PE,,137,69,69,0%,72,0%,NOR,DF,,
M2,10,N1-L02-010-DF-SL REVERSIVEL-TE-PE,,128,60,59,0%,255,100%,NOR,DF,,
M2,11,N1-L02-011-DF-SL REVERSIVEL-TE-PE,,136,68,66,0%,71,4%,NOR,DF,,
M2,12,N1-L02-012-DF-SL POLICIA FEDERAL-TE-P,,151,83,83,0%,255,100%,NOR,DF,,
M2,13,N1-L02-013-DF-SL DESEMB INTER-TE-PE,,132,64,64,0%,68,0%,NOR,DF,,
M2,14,N1-L02-014-DF-SL DESEMB INTER-TE-PE,,139,71,72,0%,77,4%,NOR,DF,,
M2,16,N1-L02-016-DF-SL TECNICA-TE-PE,,154,86,86,0%,86,0%,NOR,DF,,
M2,17,N1-L02-017-DF-SL TECNICA-TE-PE,,142,74,72,0%,78,4%,NOR,DF,,
M2,18,N1-L02-018-DF-SL APOIO-TE-PE,,148,80,80,0%,81,0%,NOR,DF,,
M2,19,N1-L02-019-DF-SL APOIO-TE-PE,,142,74,74,0%,82,8%,NOR,DF,,
M2,20,N1-L02-020-DF-WC004-TE-PE,,143,75,75,0%,75,0%,NOR,DF,,
M2,21,N1-L02-021-DF-WC004-TE-PE,,141,73,72,0%,73,0%,NOR,DF,,
M2,22,N1-L02-022-DF-WC004-TE-PE,,147,79,79,0%,80,0%,NOR,DF,,
M2,23,N1-L02-023-DF-WC004-TE-PE,,146,78,78,0%,79,0%,NOR,DF,,
M2,24,N1-L02-024-DF-DFR001-TE-PE,,146,78,78,0%,78,0%,NOR,DF,,
M2,25,N1-L02-025-DF-WC004-TE-PE,,142,74,74,0%,93,24%,NOR,DF,,
M2,27,N1-L02-027-DF-ESC LINHA AEREAS-TE-PE,,129,61,61,0%,61,0%,NOR,DF,,
M2,28,N1-L02-028-DF-ESC LINHA AEREAS-TE-PE,,137,69,69,0%,69,0%,NOR,DF,,
M2,29,N1-L02-029-DF-SL TECNICA-TE-PE,,147,79,79,0%,79,0%,NOR,DF,,
M2,30,N1-L02-030-DF-SL TECNICA-TE-PE,,138,70,70,0%,70,0%,NOR,DF,,
M2,31,N1-L02-031-DF-SL TECNICA-TE-PE,,151,83,83,0%,83,0%,NOR,DF,,
M2,34,N1-L02-034-DF-ADUANA-TE-PE,,137,69,69,0%,71,0%,NOR,DF,,
M2,35,N1-L02-035-DF-ADUANA-TE-PE,,145,77,75,0%,80,4%,NOR,DF,,
M2,36,N1-L02-036-DF-ADUANA-TE-PE,,126,58,58,0%,60,0%,NOR,DF,,
M2,37,N1-L02-037-DF-ADUANA-TE-PE,,142,74,73,0%,77,4%,NOR,DF,,
M2,38,N1-L02-038-DF-ADUANA-TE-PE,,127,59,59,0%,61,0%,NOR,DF,,
M2,39,N1-L02-039-DF-ADUANA-TE-PE,,123,55,55,0%,57,0%,NOR,DF,,
M2,40,N1-L02-040-DF-ADUANA-TE-PE,,134,66,66,0%,68,0%,NOR,DF,,
M2,41,N1-L02-041-DF-ADUANA-TE-PE,,140,72,70,0%,73,0%,NOR,DF,,
M2,42,N1-L02-042-DF-FILAS ADUANA-TE-PE,,132,64,62,0%,65,0%,NOR,DF,,
M2,43,N1-L02-043-DF-FILAS ADUANA-TE-PE,,140,72,70,0%,76,4%,NOR,DF,,
M2,44,N1-L02-044-DF-SL DESEMB INTER-TE-PE,,140,72,72,0%,76,4%,NOR,DF,,
M2,45,N1-L02-045-DF-SL DESEMB INTER-TE-PE,,133,65,65,0%,67,0%,NOR,DF,,
M2,46,N1-L02-046-DF-SL DESEMB INTER-TE-PE,,126,58,58,0%,60,0%,NOR,DF,,
M2,47,N1-L02-047-DF-CARRINHO DE BAGAGEM-TE-,,127,59,59,0%,59,0%,NOR,DF,,
M2,48,N1-L02-048-DF-COMPANHIA AER-TE-PE,,128,60,60,0%,63,0%,NOR,DF,,
M2,49,N1-L02-049-DF-COMPANHIA AER-TE-PE,,149,81,81,0%,125,60%,NOR,DF,,
M2,50,N1-L02-050-DF-COMPANHIA AER-TE-PE,,134,66,67,0%,68,0%,NOR,DF,,
M2,51,N1-L02-051-DF-COMPANHIA AER-TE-PE,,127,59,60,0%,60,0%,NOR,DF,,
M2,52,N1-L02-052-DF-COMPANHIA AER-TE-PE,,138,70,70,0%,74,4%,NOR,DF,,
M2,53,N1-L02-053-DF-COMPANHIA AER-TE-PE,,133,65,66,0%,66,0%,NOR,DF,,
M2,55,N1-L02-055-DF-SL REVERSIVEL-TE-PE,,127,59,59,0%,70,12%,NOR,DF,,
M2,56,N1-L02-056-DF-WC MASCULINO-TE-PE,,138,70,70,0%,70,0%,NOR,DF,,
M2,57,N1-L02-057-DF-SL TECNICA-TE-PE,,152,84,85,0%,85,0%,NOR,DF,,
M2,58,N1-L02-058-DF-SL TECNICA-TE-PE,,144,76,76,0%,76,0%,NOR,DF,,
M2,59,N1-L02-059-DF-CORREDOR DE BAGAGEM-TE-,,150,82,82,0%,87,4%,NOR,DF,,
M2,60,N1-L02-060-DF-CORREDOR DE BAGAGEM-TE-,,135,67,68,0%,91,32%,NOR,DF,,
M2,61,N1-L02-061-DF-EMBARQUE ARMADO-TE-PE,,128,60,60,0%,62,0%,NOR,DF,,
M2,62,N1-L02-062-DF-EMBARQUE ARMADO-TE-PE,,137,69,70,0%,71,0%,NOR,DF,,
M2,63,N1-L02-063-DF-WC-TE-PE,,148,80,80,0%,99,24%,NOR,DF,,
M2,64,N1-L02-064-DF-WC-TE-PE,,133,65,65,0%,68,0%,NOR,DF,,
M2,65,N1-L02-065-DF-WC-TE-PE,,137,69,69,0%,86,20%,NOR,DF,,
M2,66,N1-L02-066-DF-WC-TE-PE,,159,91,92,0%,92,0%,NOR,DF,,
M2,67,N1-L02-067-DF-WC-TE-PE,,137,69,70,0%,70,0%,NOR,DF,,
M2,68,N1-L02-068-DF-WC-TE-PE,,135,67,67,0%,67,0%,NOR,DF,,
